key,url,username,title,description,favicon,tag1,tag2,tag3,tag4,tag5
0,http://xiaoyunyang.github.io/#map,Xiaoyun Yang,Cost of Living,This Geo Visualization shows how much does it cost to live in the United States. The Data is taken from the monthly Basic Allowance for Housing (BAH) for new recruits in the military.,Interactive,datavis,life,d3,NULL,NULL
1,http://xiaoyunyang.github.io/#writing,Xiaoyun Yang,Bad English Diary,A book about how one girl who immigrated to the U.S. with no prior English skills learned English by keeping a diary written in Bad English. The book transcribes the diary entries with corrections for how to write it in proper English instead.,Article,writing,life,learning,NULL,NULL
-2,https://medium.com/@xiaoyunyang/10-best-things-i-did-before-i-turned-25-5511d23b726d#.4aax6w78m,Xiaoyun Yang,10 Best Things I did before I turned 25,"An article I wrote for Medium (published 2/24/16), in which I reflect on all the things I accomplished before the age of 25.",Article,college,life,learning,advice,NULL
3,http://xiaoyunyang.github.io/#pie,Xiaoyun Yang,A breakdown of a military officer's monthly salary,This pie chart visualization provides an overview of the different sources of money that compose my monthly salary.,Interactive,datavis,life,d3,NULL,NULL
-4,http://xiaoyunyang.github.io/presentation.html,LooseLeaf,Interactive Data Presentation,A presentation on how data visualization can be used for better story telling and decision making.,Article,datavis,presentation,startup,inprogress,NULL
-5,https://medium.com/@xiaoyunyang/why-president-trump-will-bring-positive-change-to-america-e52f51a88450#.d0dc2ag0p,Xiaoyun Yang,Why President Trump Will Bring Positive Change To America,A story about how the two-party system is more of a problem to America's democratic process than Donald Trump becoming the next problem,Article,democracy,politics,election,NULL,NULL
-6,https://medium.com/@xiaoyunyang/how-playing-the-piano-taught-me-math-8917f84a4326#.xkrypacq0,Xiaoyun Yang,How Learning To Play The Piano Taught Me Math,"In this article, I introduce a pattern I discovered in adding and subtracting natural numbers and a finger counting technique, inspired by piano fingering and my experiences learning how to play the piano.",Article,writing,math,music,NULL,NULL
-7,http://looseleaf.us,LooseLeaf,LooseLeaf.us,A social media platform for online education,Website,marketplace,edtech,startup,NULL,NULL
-8,http://number-shapes.com,Xiaoyun Yang and Andrew Fenner,NumberShapes,Mobile Apps for learning arithmetics I and Andrew created.,Website,edtech,math,startup,NULL,NULL
-9,https://medium.com/@xiaoyunyang/thanks-this-lean-startup-canvas-is-a-really-helpful-exercise-for-me-as-i-m-working-on-launching-my-f23e13f146f1#.brqe7a45j,LooseLeaf,Startup Canvas for LooseLeaf,"What LooseLeaf is about in an image - includes descriptions on the product, unique marketable elements, key message, target audience, and audience Influencer. Inspired by Jon Westenberg's article.",Image,startup,business,NULL,NULL,NULL
